company_name,current_level,status,next_required_action
Hero MotoCorp,Level 2 Final Draft,Complete enough to park for GitHub company-by-company phase,Use later in SSRN draft with formal citation appendix and chart generation
Fiem Industries,Level 2 Final Draft,Complete enough to park for GitHub company-by-company phase,Use later in SSRN draft with formal citation appendix and chart generation
Triveni Turbine,Level 2 Final Draft,Complete enough to park for GitHub company-by-company phase,Use later in SSRN draft with formal citation appendix and chart generation
NALCO,Level 2 Final Draft,Complete enough to park for GitHub company-by-company phase,Use later in SSRN draft with commodity-cycle appendix and chart generation
Sharda Cropchem,Level 2 Final Draft,Complete enough to park for GitHub company-by-company phase,Use later in SSRN draft with working-capital appendix and chart generation
Time Technoplast,Level 2 Final Draft,Complete enough to park for GitHub company-by-company phase,Use later in SSRN draft with industrial-packaging appendix and chart generation
Bharat Electronics,Level 0 - Not Started,Pending,Start next with Level 2 build standard
Polycab India,Level 0 - Not Started,Pending,Start after retained companies or selected fresh-screening audit
SJS Enterprises,Level 0 - Not Started,Pending,Start after retained companies or selected fresh-screening audit
Shilchar Technologies,Level 0 - Not Started,Pending,Start after retained companies or selected fresh-screening audit
JB Chemicals and Pharmaceuticals,Level 0 - Not Started,Pending,Start after retained companies or selected fresh-screening audit
Gravita India,Level 0 - Not Started,Pending,Start after retained companies or selected fresh-screening audit
